,job url,title,company name,exp,location,skill,salary,details
36,https://www.naukri.com/job-listings-Dynatrace-Engineer-Python-node-js-Recruitment-Firm-Mumbai-5-to-8-years-010719900046?src=jobsearchDesk&sid=15631999005358&xp=37&px=1,Dynatrace Engineer - Python/node.js,Recruitment Firm,5-8 yrs,Mumbai,"DynaTrace, SaaS, APM, Python, Node.js, Jenkins",  Not disclosed  ," Posted  by       Abhishek Rathore    , Few Hours Ago "
37,https://www.naukri.com/job-listings-Head-Technology-Development-Java-Python-Squareroot-Consulting-Pvt-Ltd-Noida-12-to-16-years-110719904749?src=jobsearchDesk&sid=15631999005358&xp=38&px=1,Head - Technology Development - Java/ Python,Squareroot Consulting Pvt Ltd,12-16 yrs,Noida,"Machine Learning, Java / J2EE Architect, CTO, Python Architect, Startup, IT...",  Not disclosed  ," Posted  by     HR    , Few Hours Ago "
38,https://www.naukri.com/job-listings-Full-Stack-Developer-Python-django-Expertease-Software-Consulting-Hyderabad-5-to-10-years-010719902329?src=jobsearchDesk&sid=15631999005358&xp=39&px=1,Full Stack Developer - Python/django,Expertease Software Consulting,5-10 yrs,Hyderabad,"Full Stack, Python, Django, Webservices, Microservices Architecture, RDBMS,...",  Not disclosed  ," Posted  by     HR    , Few Hours Ago "
39,https://www.naukri.com/job-listings-Software-Lead-Full-Stack-Development-Python-django-javascript-M-N-Consultants-Gurgaon-8-to-13-years-110719906381?src=jobsearchDesk&sid=15631999005358&xp=40&px=1,Software Lead - Full Stack Development - Python/django/javascript,M&N Consultants,8-13 yrs,Gurgaon,"Full Stack, Python, Django, Javascript, Technical Architect, Data Structure...",  Not disclosed  ," Posted  by     HR    , Few Hours Ago "
40,https://www.naukri.com/job-listings-Python-Developer-Info-Edge-India-Ltd-Noida-1-to-3-years-110719005327?src=jobsearchDesk&sid=15631999005358&xp=41&px=1,Python Developer,Info Edge India Ltd.,1-3 yrs,Noida,"Rest, NLP, Unit Testing, Analytical Skills, Continuous Integration...",  Not disclosed  , Posted     Few Hours Ago 
41,https://www.naukri.com/job-listings-Technical-Lead-Python-java-Javascript-Devops-ViaSat-India-Private-Limited-Chennai-8-to-13-years-110719906378?src=jobsearchDesk&sid=15631999005358&xp=42&px=1,"Technical Lead - Python/java, Javascript, Devops",ViaSat India Private Limited,8-13 yrs,Chennai,"Spring, Java, Python, Javascript, Hibernate, Software Development, ORM...",  Not disclosed  ," Posted  by     HR    , Few Hours Ago "
42,https://www.naukri.com/job-listings-Python-Developer-role-Millennium-Technosoft-Ltd-Hyderabad-3-to-8-years-210519006879?src=jobsearchDesk&sid=15631999005358&xp=43&px=1,Python Developer role,Millennium Technosoft Ltd.,3-8 yrs,Hyderabad,"Unix, Life Cycle, Software Development, Linux, Telecom Bss, Debugging...",  Not disclosed  ," Posted  by     HR    , Few Hours Ago "
43,https://www.naukri.com/job-listings-Python-Developer-Machine-Learning-Bold-Technology-Systems-Private-Limited-Noida-3-to-7-years-130619006612?src=jobsearchDesk&sid=15631999005358&xp=44&px=1,Python Developer- Machine Learning,Bold Technology Systems Private Limited,3-7 yrs,Noida,"SQL Server, Data Warehousing, Oracle, ETL, Informatica...",  Not disclosed  ," Posted  by       Gitika Sharma    , Few Hours Ago "
44,https://www.naukri.com/job-listings-QA-Python-Akaaro-Consulting-and-Training-Pune-8-to-10-years-010719902228?src=jobsearchDesk&sid=15631999005358&xp=45&px=1,QA - Python,Akaaro Consulting and Training,8-10 yrs,Pune,"Life Cycle, Design Development, Automation Framework, Ui Automation...",  Not disclosed  ," Posted  by     HR    , Few Hours Ago "
45,https://www.naukri.com/job-listings-Data-Engineer-Big-Data-python-c-Confidential-Pune-3-to-7-years-110719904083?src=jobsearchDesk&sid=15631999005358&xp=46&px=1,Data Engineer - Big Data/python/c#,Confidential,3-7 yrs,Pune,"C#, NoSQL, Data Pipeline, PostgreSQL, MySQL, Cassandra, Big Data...",  Not disclosed  ," Posted  by     HR    , Few Hours Ago "
46,https://www.naukri.com/job-listings-Software-Developer-python-api-Integration-react-JS-Anna-IT-Services-Hyderabad-4-to-9-years-010719900264?src=jobsearchDesk&sid=15631999005358&xp=47&px=1,Software Developer(python/api Integration/react JS),Anna IT Services,4-9 yrs,Hyderabad,"Python, API Integration, Data Science and React JS, Software Developer",  Not disclosed  ," Posted  by       Piyush Bhandari    , Few Hours Ago "
47,https://www.naukri.com/job-listings-Immediate-Requirement-For-Lead-Python-Developers-Parkar-Global-Technologies-Pvt-Ltd-Pune-9-to-14-years-110719006456?src=jobsearchDesk&sid=15631999005358&xp=48&px=1,Immediate Requirement For Lead- Python Developers,Parkar Global Technologies Pvt Ltd,9-14 yrs,Pune,"NoSQL, Bash Scripting, Linux, MySQL, Python Developer...",  Not disclosed  ," Posted  by     Aashish    , Few Hours Ago "
48,https://www.naukri.com/job-listings-Opportunity-Python-Developer-Ahmedabad-Spes-Manning-Solutions-LLP-Ahmedabad-1-to-5-years-060719002284?src=jobsearchDesk&sid=15631999005358&xp=49&px=1,Job Opportunity - Python Developer - Ahmedabad,Spes Manning Solutions LLP,1-5 yrs,Ahmedabad,"Pyramid, CSS, Django, Web Technologies, Html5, Python Developer, Javascript...",  Not disclosed  ," Posted  by     Priya    , Few Hours Ago "
49,https://www.naukri.com/job-listings-Data-Visualization-Engineer-Microstrategy-python-eTeam-Gurgaon-5-to-8-years-010719900042?src=jobsearchDesk&sid=15631999005358&xp=50&px=1,Data Visualization Engineer - Microstrategy/python,eTeam,5-8 yrs,Gurgaon,"Data Visualization, Tableau, Microstrategy, Data Modeling, SQL, Python, Big...",  Not disclosed  ," Posted  by     HR    , Few Hours Ago "
